 #   corr_m    corr_e   u_corr
0.0368    2.0591         850
0.0369    2.0590         851
0.0369    2.0590         852
0.0370    2.0589         853
0.0370    2.0589         854
0.0371    2.0588         855
0.0371    2.0587         856
0.0371    2.0587         857
0.0372    2.0586         858
0.0372    2.0586         859
0.0373    2.0585         860
0.0373    2.0584         861
0.0374    2.0584         862
0.0374    2.0583         863
0.0374    2.0583         864
0.0375    2.0582         865
0.0375    2.0582         866
0.0376    2.0581         867
0.0376    2.0580         868
0.0377    2.0580         869
0.0377    2.0579         870
0.0378    2.0579         871
0.0378    2.0578         872
0.0378    2.0578         873
0.0379    2.0577         874
0.0379    2.0576         875
0.0380    2.0576         876
0.0380    2.0575         877
0.0381    2.0575         878
0.0381    2.0574         879
0.0381    2.0574         880
0.0382    2.0573         881
0.0382    2.0572         882
0.0383    2.0572         883
0.0383    2.0571         884
0.0384    2.0571         885
0.0384    2.0570         886
0.0384    2.0570         887
0.0385    2.0569         888
0.0385    2.0568         889
0.0386    2.0568         890
0.0386    2.0567         891
0.0387    2.0567         892
0.0387    2.0566         893
0.0387    2.0565         894
0.0388    2.0565         895
0.0388    2.0564         896
0.0389    2.0564         897
0.0389    2.0563         898
0.0390    2.0563         899
0.0390    2.0562         900
0.0387    2.0562         901
0.0384    2.0563         902
0.0381    2.0563         903
0.0378    2.0564         904
0.0375    2.0564         905
0.0372    2.0565         906
0.0369    2.0565         907
0.0365    2.0565         908
0.0362    2.0566         909
0.0359    2.0566         910
0.0356    2.0567         911
0.0353    2.0567         912
0.0350    2.0568         913
0.0347    2.0568         914
0.0344    2.0568         915
0.0341    2.0569         916
0.0338    2.0569         917
0.0334    2.0570         918
0.0331    2.0570         919
0.0328    2.0571         920
0.0325    2.0571         921
0.0322    2.0571         922
0.0319    2.0572         923
0.0316    2.0572         924
0.0313    2.0573         925
0.0310    2.0573         926
0.0306    2.0574         927
0.0303    2.0574         928
0.0300    2.0574         929
0.0297    2.0575         930
0.0294    2.0575         931
0.0291    2.0576         932
0.0288    2.0576         933
0.0285    2.0577         934
0.0282    2.0577         935
0.0279    2.0577         936
0.0275    2.0578         937
0.0272    2.0578         938
0.0269    2.0579         939
0.0266    2.0579         940
0.0263    2.0580         941
0.0260    2.0580         942
0.0257    2.0580         943
0.0254    2.0581         944
0.0251    2.0581         945
0.0248    2.0582         946
0.0244    2.0582         947
0.0241    2.0583         948
0.0238    2.0583         949
0.0235    2.0583         950
0.0232    2.0584         951
0.0229    2.0584         952
0.0226    2.0585         953
0.0223    2.0585         954
0.0220    2.0586         955
0.0216    2.0586         956
0.0213    2.0586         957
0.0210    2.0587         958
0.0207    2.0587         959
0.0204    2.0588         960
0.0201    2.0588         961
0.0198    2.0589         962
0.0195    2.0589         963
0.0192    2.0589         964
0.0189    2.0590         965
0.0185    2.0590         966
0.0182    2.0591         967
0.0179    2.0591         968
0.0176    2.0592         969
0.0173    2.0592         970
0.0170    2.0592         971
0.0167    2.0593         972
0.0164    2.0593         973
0.0161    2.0594         974
0.0157    2.0594         975
0.0154    2.0595         976
0.0151    2.0595         977
0.0148    2.0595         978
0.0145    2.0596         979
0.0142    2.0596         980
0.0139    2.0597         981
0.0136    2.0597         982
0.0133    2.0598         983
0.0129    2.0598         984
0.0126    2.0598         985
0.0123    2.0599         986
0.0120    2.0599         987
0.0117    2.0600         988
0.0114    2.0600         989
0.0111    2.0601         990
0.0108    2.0601         991
0.0105    2.0601         992
0.0102    2.0602         993
0.0098    2.0602         994
0.0095    2.0603         995
0.0092    2.0603         996
0.0089    2.0604         997
0.0086    2.0604         998
0.0083    2.0604         999
0.0080    2.0605        1000
0.0083    2.0605        1001
0.0086    2.0606        1002
0.0089    2.0606        1003
0.0092    2.0606        1004
0.0095    2.0606        1005
0.0098    2.0607        1006
0.0102    2.0607        1007
0.0105    2.0607        1008
0.0108    2.0608        1009
0.0111    2.0608        1010
0.0114    2.0608        1011
0.0117    2.0608        1012
0.0120    2.0609        1013
0.0123    2.0609        1014
0.0127    2.0609        1015
0.0130    2.0610        1016
0.0133    2.0610        1017
0.0136    2.0610        1018
0.0139    2.0610        1019
0.0142    2.0611        1020
0.0145    2.0611        1021
0.0148    2.0611        1022
0.0151    2.0612        1023
0.0155    2.0612        1024
0.0158    2.0612        1025
0.0161    2.0612        1026
0.0164    2.0613        1027
0.0167    2.0613        1028
0.0170    2.0613        1029
0.0173    2.0614        1030
0.0176    2.0614        1031
0.0180    2.0614        1032
0.0183    2.0614        1033
0.0186    2.0615        1034
0.0189    2.0615        1035
0.0192    2.0615        1036
0.0195    2.0616        1037
0.0198    2.0616        1038
0.0201    2.0616        1039
0.0205    2.0616        1040
0.0208    2.0617        1041
0.0211    2.0617        1042
0.0214    2.0617        1043
0.0217    2.0618        1044
0.0220    2.0618        1045
0.0223    2.0618        1046
0.0226    2.0618        1047
0.0230    2.0619        1048
0.0233    2.0619        1049
0.0236    2.0619        1050
0.0239    2.0620        1051
0.0242    2.0620        1052
0.0245    2.0620        1053
0.0248    2.0620        1054
0.0251    2.0621        1055
0.0255    2.0621        1056
0.0258    2.0621        1057
0.0261    2.0622        1058
0.0264    2.0622        1059
0.0267    2.0622        1060
0.0270    2.0622        1061
0.0273    2.0623        1062
0.0276    2.0623        1063
0.0279    2.0623        1064
0.0283    2.0624        1065
0.0286    2.0624        1066
0.0289    2.0624        1067
0.0292    2.0624        1068
0.0295    2.0625        1069
0.0298    2.0625        1070
0.0301    2.0625        1071
0.0304    2.0626        1072
0.0308    2.0626        1073
0.0311    2.0626        1074
0.0314    2.0626        1075
0.0317    2.0627        1076
0.0320    2.0627        1077
0.0323    2.0627        1078
0.0326    2.0628        1079
0.0329    2.0628        1080
0.0333    2.0628        1081
0.0336    2.0629        1082
0.0339    2.0629        1083
0.0342    2.0629        1084
0.0345    2.0629        1085
0.0348    2.0630        1086
0.0351    2.0630        1087
0.0354    2.0630        1088
0.0358    2.0631        1089
0.0361    2.0631        1090
0.0364    2.0631        1091
0.0367    2.0631        1092
0.0370    2.0632        1093
0.0373    2.0632        1094
0.0376    2.0632        1095
0.0379    2.0633        1096
0.0383    2.0633        1097
0.0386    2.0633        1098
0.0389    2.0633        1099
0.0392    2.0634        1100
0.0392    2.0633        1101
0.0392    2.0633        1102
0.0392    2.0633        1103
0.0392    2.0632        1104
0.0393    2.0632        1105
0.0393    2.0632        1106
0.0393    2.0631        1107
0.0393    2.0631        1108
0.0393    2.0631        1109
0.0393    2.0630        1110
0.0393    2.0630        1111
0.0394    2.0629        1112
0.0394    2.0629        1113
0.0394    2.0629        1114
0.0394    2.0628        1115
0.0394    2.0628        1116
0.0394    2.0628        1117
0.0394    2.0627        1118
0.0394    2.0627        1119
0.0395    2.0627        1120
0.0395    2.0626        1121
0.0395    2.0626        1122
0.0395    2.0626        1123
0.0395    2.0625        1124
0.0395    2.0625        1125
0.0395    2.0625        1126
0.0395    2.0624        1127
0.0396    2.0624        1128
0.0396    2.0624        1129
0.0396    2.0623        1130
0.0396    2.0623        1131
0.0396    2.0623        1132
0.0396    2.0622        1133
0.0396    2.0622        1134
0.0397    2.0622        1135
0.0397    2.0621        1136
0.0397    2.0621        1137
0.0397    2.0620        1138
0.0397    2.0620        1139
0.0397    2.0620        1140
0.0397    2.0619        1141
0.0397    2.0619        1142
0.0398    2.0619        1143
0.0398    2.0618        1144
0.0398    2.0618        1145
