 #m    e    m2    e2    
 -0.8100     -1.5100      0.6561      2.2801
 -0.8850     -1.6200      0.7832      2.6244
 -0.8700     -1.6800      0.7569      2.8224
 -0.7900     -1.5200      0.6241      2.3104
 -0.8550     -1.6200      0.7310      2.6244
 -0.7800     -1.5100      0.6084      2.2801
 -0.7650     -1.4500      0.5852      2.1025
 -0.6750     -1.3000      0.4556      1.6900
 -0.7650     -1.4400      0.5852      2.0736
 -0.6450     -1.3000      0.4160      1.6900
 -0.8200     -1.5000      0.6724      2.2500
 -0.7350     -1.4700      0.5402      2.1609
 -0.8900     -1.6500      0.7921      2.7225
 -0.4350     -1.1700      0.1892      1.3689
 -0.6200     -1.4500      0.3844      2.1025
 -0.3250     -1.2300      0.1056      1.5129
  0.7300     -1.4300      0.5329      2.0449
  0.8150     -1.5700      0.6642      2.4649
  0.8200     -1.5200      0.6724      2.3104
  0.7650     -1.4800      0.5852      2.1904
  0.6750     -1.3700      0.4556      1.8769
  0.7600     -1.4200      0.5776      2.0164
  0.7750     -1.4500      0.6006      2.1025
  0.1100     -1.0900      0.0121      1.1881
 -0.1300     -1.1200      0.0169      1.2544
  0.4200     -1.2200      0.1764      1.4884
  0.2100     -1.0900      0.0441      1.1881
 -0.7550     -1.5100      0.5700      2.2801
 -0.6000     -1.2400      0.3600      1.5376
 -0.7300     -1.3400      0.5329      1.7956
 -0.6600     -1.3200      0.4356      1.7424
 -0.1150     -1.0500      0.0132      1.1025
  0.7300     -1.4600      0.5329      2.1316
  0.8650     -1.5300      0.7482      2.3409
 -0.4750     -1.2400      0.2256      1.5376
  0.8850     -1.6600      0.7832      2.7556
  0.8250     -1.4900      0.6806      2.2201
  0.7500     -1.3800      0.5625      1.9044
  0.5550     -1.3100      0.3080      1.7161
  0.6150     -1.3200      0.3782      1.7424
 -0.1250     -1.1300      0.0156      1.2769
  0.8050     -1.4700      0.6480      2.1609
  0.6700     -1.3600      0.4489      1.8496
  0.5550     -1.0900      0.3080      1.1881
  0.8250     -1.6200      0.6806      2.6244
  0.8000     -1.4500      0.6400      2.1025
  0.8500     -1.5800      0.7225      2.4964
  0.4600     -1.4000      0.2116      1.9600
 -0.6700     -1.4700      0.4489      2.1609
 -0.8850     -1.6600      0.7832      2.7556
 -0.7900     -1.4300      0.6241      2.0449
 -0.6650     -1.4300      0.4422      2.0449
 -0.6150     -1.4300      0.3782      2.0449
 -0.4550     -1.2800      0.2070      1.6384
 -0.7450     -1.4200      0.5550      2.0164
 -0.7100     -1.3100      0.5041      1.7161
 -0.6400     -1.1700      0.4096      1.3689
 -0.5000     -1.1900      0.2500      1.4161
 -0.7750     -1.5000      0.6006      2.2500
 -0.1100     -1.3700      0.0121      1.8769
  0.9000     -1.7500      0.8100      3.0625
  0.7150     -1.4000      0.5112      1.9600
  0.1750     -1.1300      0.0306      1.2769
  0.7150     -1.3000      0.5112      1.6900
 -0.6700     -1.4400      0.4489      2.0736
  0.7950     -1.5200      0.6320      2.3104
  0.8150     -1.5700      0.6642      2.4649
  0.7600     -1.3900      0.5776      1.9321
  0.8050     -1.7600      0.6480      3.0976
  0.8150     -1.5000      0.6642      2.2500
  0.5700     -1.4000      0.3249      1.9600
  0.8900     -1.6400      0.7921      2.6896
